,,,,,,,,,
,,,,,,,,,
,Tabla N°:,2.2 ,,,,,,,
,Nombre de la tabla:,"Población en viviendas particulares por condición de pobreza por NBI y sexo al nacer, según provincia, cantón, parroquia y autoidentificación étnica",,,,,,,
,Fuente:,VIII Censo de Población y VII de Vivienda ,,,,,,,
,Elaboración:,Instituto Nacional de Estadística y Censos (INEC) - Componente de Metodología y Análisis – CPV 2022 ,,,,,,,
,,,,,,,,,
,,,,,,,,,
Índice,"Provincia, cantón, parroquia de residencia y autoidentificación según cultura y costumbres",,,,Número total de personas en viviendas particulares,Condición de Pobreza por Necesidades Básicas Insatisfechas NBI,,,
,,,,,,No pobres,,Pobres,
,,,,,,Sexo al nacer,,Sexo al nacer,
,,,,,,Hombres,Mujeres,Hombres,Mujeres
,,,,,,,,,
,Azuay,Cuenca,Ricaurte,Total Ricaurte,"26,904","10,753","11,509","2,156","2,486"
,Azuay,Cuenca,Ricaurte,Indígena,231,79,74,38,40
,Azuay,Cuenca,Ricaurte,Afroecuatoriana/o,251,95,78,40,38
,Azuay,Cuenca,Ricaurte,Montubia/o,89,32,34,12,11
,Azuay,Cuenca,Ricaurte,Mestiza/o,"26,043","10,421","11,204","2,047","2,371"
,Azuay,Cuenca,Ricaurte,Blanca/o,290,126,119,19,26
,Azuay,Cuenca,Ricaurte,Otro,,,,,
,Azuay,Cuenca,San Joaquín,Total San Joaquín,"10,728","3,672","3,979","1,445","1,632"
,Azuay,Cuenca,San Joaquín,Indígena,197,54,61,34,48
,Azuay,Cuenca,San Joaquín,Afroecuatoriana/o,96,37,30,16,13
,Azuay,Cuenca,San Joaquín,Montubia/o,46,16,16,6,8
,Azuay,Cuenca,San Joaquín,Mestiza/o,"10,166","3,479","3,763","1,374","1,550"
,Azuay,Cuenca,San Joaquín,Blanca/o,223,86,109,15,13
,Azuay,Cuenca,San Joaquín,Otro,,,,,
,Azuay,Cuenca,Santa Ana,Total Santa Ana,"7,027","1,619","1,880","1,597","1,931"
,Azuay,Cuenca,Santa Ana,Indígena,15,2,2,7,4
,Azuay,Cuenca,Santa Ana,Afroecuatoriana/o,16,6,2,5,3
,Azuay,Cuenca,Santa Ana,Montubia/o,24,5,5,4,10
,Azuay,Cuenca,Santa Ana,Mestiza/o,"6,903","1,582","1,848","1,572","1,901"
,Azuay,Cuenca,Santa Ana,Blanca/o,69,24,23,9,13
,Azuay,Cuenca,Santa Ana,Otro,,,,,
,Azuay,Cuenca,Sayausí,Total Sayausí,"10,351","3,424","3,923","1,384","1,620"
,Azuay,Cuenca,Sayausí,Indígena,38,11,9,6,12
,Azuay,Cuenca,Sayausí,Afroecuatoriana/o,70,30,26,9,5
,Azuay,Cuenca,Sayausí,Montubia/o,37,16,13,1,7
,Azuay,Cuenca,Sayausí,Mestiza/o,"10,080","3,319","3,818","1,357","1,586"
,Azuay,Cuenca,Sayausí,Blanca/o,126,48,57,11,10
,Azuay,Cuenca,Sayausí,Otro,,,,,
,Azuay,Cuenca,Sidcay,Total Sidcay,"5,039","1,671","1,911",618,839
,Azuay,Cuenca,Sidcay,Indígena,18,7,2,4,5
,Azuay,Cuenca,Sidcay,Afroecuatoriana/o,19,7,7,3,2
,Azuay,Cuenca,Sidcay,Montubia/o,15,7,4,,4
,Azuay,Cuenca,Sidcay,Mestiza/o,"4,918","1,629","1,871",604,814
,Azuay,Cuenca,Sidcay,Blanca/o,69,21,27,7,14
,Azuay,Cuenca,Sidcay,Otro,,,,,
,Azuay,Cuenca,Sinincay,Total Sinincay,"26,720","8,394","9,390","4,075","4,861"
,Azuay,Cuenca,Sinincay,Indígena,210,70,60,35,45
,Azuay,Cuenca,Sinincay,Afroecuatoriana/o,116,44,41,13,18
,Azuay,Cuenca,Sinincay,Montubia/o,88,33,26,19,10
,Azuay,Cuenca,Sinincay,Mestiza/o,"26,189","8,206","9,226","3,985","4,772"
,Azuay,Cuenca,Sinincay,Blanca/o,117,41,37,23,16
,Azuay,Cuenca,Sinincay,Otro,,,,,
,Azuay,Cuenca,Tarqui,Total Tarqui,"14,144","3,454","3,928","3,097","3,665"
,Azuay,Cuenca,Tarqui,Indígena,662,95,127,216,224
,Azuay,Cuenca,Tarqui,Afroecuatoriana/o,19,8,5,1,5
,Azuay,Cuenca,Tarqui,Montubia/o,55,13,15,14,13
,Azuay,Cuenca,Tarqui,Mestiza/o,"13,343","3,314","3,760","2,858","3,411"
,Azuay,Cuenca,Tarqui,Blanca/o,59,20,20,8,11
,Azuay,Cuenca,Tarqui,Otro,6,4,1,,1
,Azuay,Cuenca,Turi,Total Turi,"12,690","3,756","4,095","2,196","2,643"
,Azuay,Cuenca,Turi,Indígena,137,28,35,35,39
,Azuay,Cuenca,Turi,Afroecuatoriana/o,79,21,28,11,19
,Azuay,Cuenca,Turi,Montubia/o,34,11,16,3,4
,Azuay,Cuenca,Turi,Mestiza/o,"12,284","3,640","3,945","2,137","2,562"
,Azuay,Cuenca,Turi,Blanca/o,155,56,71,9,19
,Azuay,Cuenca,Turi,Otro,1,,,1,
,Azuay,Cuenca,Valle,Total Valle,"34,785","11,732","13,024","4,547","5,482"
,Azuay,Cuenca,Valle,Indígena,802,247,308,118,129
,Azuay,Cuenca,Valle,Afroecuatoriana/o,216,82,85,33,16
,Azuay,Cuenca,Valle,Montubia/o,112,40,50,12,10
,Azuay,Cuenca,Valle,Mestiza/o,"33,246","11,203","12,424","4,342","5,277"
,Azuay,Cuenca,Valle,Blanca/o,406,158,156,42,50
,Azuay,Cuenca,Valle,Otro,3,2,1,,
,Azuay,Cuenca,Victoria del Portete,Total Victoria del Portete,"6,654","1,112","1,345","1,904","2,293"
,Azuay,Cuenca,Victoria del Portete,Indígena,381,61,73,113,134
,Azuay,Cuenca,Victoria del Portete,Afroecuatoriana/o,32,3,2,12,15
,Azuay,Cuenca,Victoria del Portete,Montubia/o,42,9,10,13,10
,Azuay,Cuenca,Victoria del Portete,Mestiza/o,"6,142","1,023","1,248","1,756","2,115"
,Azuay,Cuenca,Victoria del Portete,Blanca/o,53,14,10,10,19
,Azuay,Cuenca,Victoria del Portete,Otro,4,2,2,,
,Azuay,Girón,Total Girón,Total Girón,"12,173","3,718","4,424","1,808","2,223"
,Azuay,Girón,Total Girón,Indígena,72,10,11,28,23
,Azuay,Girón,Total Girón,Afroecuatoriana/o,35,12,11,6,6
,Azuay,Girón,Total Girón,Montubia/o,39,13,12,8,6
,Azuay,Girón,Total Girón,Mestiza/o,"11,807","3,602","4,304","1,738","2,163"
,Azuay,Girón,Total Girón,Blanca/o,220,81,86,28,25
,Azuay,Girón,Total Girón,Otro,,,,,
,Azuay,Girón,Girón,Total Girón,"8,434","2,471","2,986","1,339","1,638"
,Azuay,Girón,Girón,Indígena,58,6,3,26,23
,Azuay,Girón,Girón,Afroecuatoriana/o,23,8,3,6,6
,Azuay,Girón,Girón,Montubia/o,25,6,9,5,5
,Azuay,Girón,Girón,Mestiza/o,"8,210","2,412","2,928","1,284","1,586"
,Azuay,Girón,Girón,Blanca/o,118,39,43,18,18
,Azuay,Girón,Girón,Otro,,,,,
,Azuay,Girón,La Asunción,Total La Asunción,"2,681",929,"1,040",324,388
,Azuay,Girón,La Asunción,Indígena,14,4,8,2,
