,,,,,,,,,,,
,,,,,,,,,,,
,Tabla N°:,1.2 ,,,,,,,,,
,Nombre de la tabla:,"Población en viviendas particulares por condición de pobreza por NBI y sexo al nacer, según provincia, cantón, parroquia y área de residencia",,,,,,,,,
,Fuente:,VIII Censo de Población y VII de Vivienda ,,,,,,,,,
,Elaboración:,Instituto Nacional de Estadística y Censos (INEC) - Componente de Metodología y Análisis – CPV 2022 ,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Índice,"Provincia, cantón, parroquia y área de residencia",,,Número total de personas en viviendas particulares,Número total de personas en viviendas particulares,Condición de Pobreza por Necesidades Básicas Insatisfechas NBI,,,,,
,,,,,,No pobres,,"Total
No pobres",Pobres,,"Total
Pobres"
,,,,,,Sexo al nacer,,,Sexo al nacer,,
,,,,,,Hombres,Mujeres,,Hombres,Mujeres,
,,,,,,,,,,,
,Azuay,Gualaceo,Zhidmad,Total Zhidmad,"3,045",473,621,"1,094",874,"1,077","1,951"
,Azuay,Gualaceo,Zhidmad,Rural,"3,045",473,621,"1,094",874,"1,077","1,951"
,Azuay,Gualaceo,Luis Cordero Vega,Total Luis Cordero Vega,"2,668",664,719,"1,383",571,714,"1,285"
,Azuay,Gualaceo,Luis Cordero Vega,Rural,"2,668",664,719,"1,383",571,714,"1,285"
,Azuay,Gualaceo,Simón Bolívar,Total Simón Bolívar,732,148,201,349,164,219,383
,Azuay,Gualaceo,Simón Bolívar,Rural,732,148,201,349,164,219,383
,Azuay,Nabón,Total Nabón,Total Nabón,"14,758","1,847","2,240","4,087","4,876","5,795","10,671"
,Azuay,Nabón,Total Nabón,Urbana,"1,258",447,594,"1,041",97,120,217
,Azuay,Nabón,Total Nabón,Rural,"13,500","1,400","1,646","3,046","4,779","5,675","10,454"
,Azuay,Nabón,Nabón,Total Nabón,"9,079","1,010","1,256","2,266","3,072","3,741","6,813"
,Azuay,Nabón,Nabón,Urbana,"1,258",447,594,"1,041",97,120,217
,Azuay,Nabón,Nabón,Rural,"7,821",563,662,"1,225","2,975","3,621","6,596"
,Azuay,Nabón,Cochapata,Total Cochapata,"2,981",352,468,820,"1,000","1,161","2,161"
,Azuay,Nabón,Cochapata,Rural,"2,981",352,468,820,"1,000","1,161","2,161"
,Azuay,Nabón,El Progreso,Total El Progreso,"1,388",199,198,397,474,517,991
,Azuay,Nabón,El Progreso,Rural,"1,388",199,198,397,474,517,991
,Azuay,Nabón,Las Nieves,Total Las Nieves,"1,310",286,318,604,330,376,706
,Azuay,Nabón,Las Nieves,Rural,"1,310",286,318,604,330,376,706
,Azuay,Paute,Total Paute,Total Paute,"26,721","8,330","9,695","18,025","3,842","4,854","8,696"
,Azuay,Paute,Total Paute,Urbana,"8,726","3,589","4,160","7,749",428,549,977
,Azuay,Paute,Total Paute,Rural,"17,995","4,741","5,535","10,276","3,414","4,305","7,719"
,Azuay,Paute,Paute,Total Paute,"11,457","4,301","5,009","9,310",947,"1,200","2,147"
,Azuay,Paute,Paute,Urbana,"8,726","3,589","4,160","7,749",428,549,977
,Azuay,Paute,Paute,Rural,"2,731",712,849,"1,561",519,651,"1,170"
,Azuay,Paute,Bulán,Total Bulán,"1,911",491,548,"1,039",404,468,872
,Azuay,Paute,Bulán,Rural,"1,911",491,548,"1,039",404,468,872
,Azuay,Paute,Chicán,Total Chicán,"3,392",944,"1,086","2,030",607,755,"1,362"
,Azuay,Paute,Chicán,Rural,"3,392",944,"1,086","2,030",607,755,"1,362"
,Azuay,Paute,El Cabo,Total El Cabo,"3,361","1,071","1,288","2,359",434,568,"1,002"
