,,,,,,,,,,,,,
,,,,,,,,,,,,,
,Tabla.N°:,1.2 ,,,,,,,,,,,
,Nombre de la tabla:,"Población por autoidentificación según cultura y costumbres, según provincia, cantón, parroquia de residencia y sexo al nacer ",,,,,,,,,,,
,Fuente:,VIII Censo de Población y VII de Vivienda ,,,,,,,,,,,
,Elaboración:,Instituto Nacional de Estadística y Censos (INEC) - Componente de Metodología y Análisis – CPV 2022 ,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Índice,"Provincia, cantón, parroquia de residencia y sexo al nacer",,,,Número total de personas ,Autoidentificación según cultura y costumbres,,,,,,,
,,,,,,Indigena,Afroecuatoriano/a o Afrodescendiente,Negra/o,Mulata/o,Montubia/o,Mestiza/o,Blanca/o,Otro
,,,,,,,,,,,,,
,Azuay,Oña,Susudel,Mujeres,529,11,1,2,,,512,3,
,Azuay,Chordeleg,Total Chordeleg,Total Chordeleg,"12,197",26,13,9,27,30,"11,977",115,
,Azuay,Chordeleg,Total Chordeleg,Hombres,"5,494",11,5,3,15,13,"5,388",59,
,Azuay,Chordeleg,Total Chordeleg,Mujeres,"6,703",15,8,6,12,17,"6,589",56,
,Azuay,Chordeleg,Chordeleg,Total Chordeleg,"6,907",15,7,7,19,24,"6,754",81,
,Azuay,Chordeleg,Chordeleg,Hombres,"3,189",4,2,1,11,9,"3,114",48,
,Azuay,Chordeleg,Chordeleg,Mujeres,"3,718",11,5,6,8,15,"3,640",33,
,Azuay,Chordeleg,Principal,Total Principal,"1,158",1,,1,1,1,"1,148",6,
,Azuay,Chordeleg,Principal,Hombres,499,1,,1,1,1,494,1,
,Azuay,Chordeleg,Principal,Mujeres,659,,,,,,654,5,
,Azuay,Chordeleg,La Unión,Total La Unión,"1,875",9,,,4,2,"1,850",10,
,Azuay,Chordeleg,La Unión,Hombres,826,5,,,3,1,814,3,
,Azuay,Chordeleg,La Unión,Mujeres,"1,049",4,,,1,1,"1,036",7,
,Azuay,Chordeleg,Luis Galarza Orellana,Total Luis Galarza Orellana,"1,237",1,6,1,,1,"1,213",15,
,Azuay,Chordeleg,Luis Galarza Orellana,Hombres,541,1,3,1,,1,529,6,
,Azuay,Chordeleg,Luis Galarza Orellana,Mujeres,696,,3,,,,684,9,
,Azuay,Chordeleg,San Martín de Puzhio,Total San Martín de Puzhio,"1,020",,,,3,2,"1,012",3,
,Azuay,Chordeleg,San Martín de Puzhio,Hombres,439,,,,,1,437,1,
,Azuay,Chordeleg,San Martín de Puzhio,Mujeres,581,,,,3,1,575,2,
,Azuay,El Pan,Total El Pan,Total El Pan,"2,776",2,10,1,3,5,"2,714",41,
,Azuay,El Pan,Total El Pan,Hombres,"1,280",1,6,1,,2,"1,248",22,
,Azuay,El Pan,Total El Pan,Mujeres,"1,496",1,4,,3,3,"1,466",19,
,Azuay,El Pan,El Pan,Total El Pan,"1,085",2,4,1,,1,"1,046",31,
,Azuay,El Pan,El Pan,Hombres,496,1,2,1,,1,474,17,
,Azuay,El Pan,El Pan,Mujeres,589,1,2,,,,572,14,
,Azuay,El Pan,San Vicente,Total San Vicente,"1,691",,6,,3,4,"1,668",10,
,Azuay,El Pan,San Vicente,Hombres,784,,4,,,1,774,5,
,Azuay,El Pan,San Vicente,Mujeres,907,,2,,3,3,894,5,
,Azuay,Sevilla de Oro,Total Sevilla de Oro,Total Sevilla de Oro,"4,613",17,11,,5,12,"4,556",12,
,Azuay,Sevilla de Oro,Total Sevilla de Oro,Hombres,"2,167",6,7,,1,5,"2,142",6,
,Azuay,Sevilla de Oro,Total Sevilla de Oro,Mujeres,"2,446",11,4,,4,7,"2,414",6,
,Azuay,Sevilla de Oro,Sevilla de Oro,Total Sevilla de Oro,"2,027",3,5,,1,5,"2,003",10,
,Azuay,Sevilla de Oro,Sevilla de Oro,Hombres,943,1,3,,1,4,929,5,
,Azuay,Sevilla de Oro,Sevilla de Oro,Mujeres,"1,084",2,2,,,1,"1,074",5,
,Azuay,Sevilla de Oro,Amaluza,Total Amaluza,896,8,5,,1,3,879,,
,Azuay,Sevilla de Oro,Amaluza,Hombres,409,2,3,,,,404,,
