,,,,,,,,,,,,,
,,,,,,,,,,,,,
,Tabla.N°:,1.2 ,,,,,,,,,,,
,Nombre de la tabla:,"Población por autoidentificación según cultura y costumbres, según provincia, cantón, parroquia de residencia y sexo al nacer ",,,,,,,,,,,
,Fuente:,VIII Censo de Población y VII de Vivienda ,,,,,,,,,,,
,Elaboración:,Instituto Nacional de Estadística y Censos (INEC) - Componente de Metodología y Análisis – CPV 2022 ,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Índice,"Provincia, cantón, parroquia de residencia y sexo al nacer",,,,Número total de personas ,Autoidentificación según cultura y costumbres,,,,,,,
,,,,,,Indigena,Afroecuatoriano/a o Afrodescendiente,Negra/o,Mulata/o,Montubia/o,Mestiza/o,Blanca/o,Otro
,,,,,,,,,,,,,
,Tungurahua,San Pedro de Pelileo,García Moreno,Total García Moreno,"7,836",76,8,,13,34,"7,650",55,
,Tungurahua,San Pedro de Pelileo,García Moreno,Hombres,"3,724",38,6,,5,16,"3,628",31,
,Tungurahua,San Pedro de Pelileo,García Moreno,Mujeres,"4,112",38,2,,8,18,"4,022",24,
,Tungurahua,San Pedro de Pelileo,Guambaló,Total Guambaló,"8,444",126,10,1,1,33,"8,255",18,
,Tungurahua,San Pedro de Pelileo,Guambaló,Hombres,"4,115",50,7,,1,13,"4,038",6,
,Tungurahua,San Pedro de Pelileo,Guambaló,Mujeres,"4,329",76,3,1,,20,"4,217",12,
,Tungurahua,San Pedro de Pelileo,Salasaca,Total Salasaca,"6,288","5,636",4,,,3,642,3,
,Tungurahua,San Pedro de Pelileo,Salasaca,Hombres,"2,964","2,669",1,,,2,291,1,
,Tungurahua,San Pedro de Pelileo,Salasaca,Mujeres,"3,324","2,967",3,,,1,351,2,
,Tungurahua,Santiago de Píllaro,Total Santiago de Píllaro,Total Santiago de Píllaro,"42,497","1,225",82,18,73,93,"40,677",323,6
,Tungurahua,Santiago de Píllaro,Total Santiago de Píllaro,Hombres,"20,289",557,41,9,38,50,"19,427",162,5
,Tungurahua,Santiago de Píllaro,Total Santiago de Píllaro,Mujeres,"22,208",668,41,9,35,43,"21,250",161,1
,Tungurahua,Santiago de Píllaro,Píllaro,Total Píllaro,"16,012",145,41,9,39,25,"15,562",185,6
,Tungurahua,Santiago de Píllaro,Píllaro,Hombres,"7,669",78,19,5,17,15,"7,448",82,5
,Tungurahua,Santiago de Píllaro,Píllaro,Mujeres,"8,343",67,22,4,22,10,"8,114",103,1
,Tungurahua,Santiago de Píllaro,Baquerizo Moreno,Total Baquerizo Moreno,239,,2,,1,1,231,4,
,Tungurahua,Santiago de Píllaro,Baquerizo Moreno,Hombres,122,,,,,1,117,4,
,Tungurahua,Santiago de Píllaro,Baquerizo Moreno,Mujeres,117,,2,,1,,114,,
,Tungurahua,Santiago de Píllaro,Emilio María Terán,Total Emilio María Terán,"1,531",16,2,,5,2,"1,493",13,
,Tungurahua,Santiago de Píllaro,Emilio María Terán,Hombres,732,9,1,,3,2,709,8,
,Tungurahua,Santiago de Píllaro,Emilio María Terán,Mujeres,799,7,1,,2,,784,5,
,Tungurahua,Santiago de Píllaro,Marcos Espinel,Total Marcos Espinel,"2,266",19,1,,3,2,"2,216",25,
,Tungurahua,Santiago de Píllaro,Marcos Espinel,Hombres,"1,101",8,1,,2,1,"1,075",14,
,Tungurahua,Santiago de Píllaro,Marcos Espinel,Mujeres,"1,165",11,,,1,1,"1,141",11,
,Tungurahua,Santiago de Píllaro,Presidente Urbina,Total Presidente Urbina,"3,265",80,3,,8,19,"3,128",27,
,Tungurahua,Santiago de Píllaro,Presidente Urbina,Hombres,"1,543",32,2,,5,7,"1,478",19,
,Tungurahua,Santiago de Píllaro,Presidente Urbina,Mujeres,"1,722",48,1,,3,12,"1,650",8,
,Tungurahua,Santiago de Píllaro,San Andrés,Total San Andrés,"12,231",939,21,5,11,29,"11,198",28,
,Tungurahua,Santiago de Píllaro,San Andrés,Hombres,"5,815",417,11,2,9,18,"5,343",15,
,Tungurahua,Santiago de Píllaro,San Andrés,Mujeres,"6,416",522,10,3,2,11,"5,855",13,
,Tungurahua,Santiago de Píllaro,San José de Poaló,Total San José de Poaló,"1,807",3,1,,1,5,"1,787",10,
,Tungurahua,Santiago de Píllaro,San José de Poaló,Hombres,868,2,,,1,3,858,4,
,Tungurahua,Santiago de Píllaro,San José de Poaló,Mujeres,939,1,1,,,2,929,6,
,Tungurahua,Santiago de Píllaro,San Miguelito,Total San Miguelito,"5,146",23,11,4,5,10,"5,062",31,
,Tungurahua,Santiago de Píllaro,San Miguelito,Hombres,"2,439",11,7,2,1,3,"2,399",16,
,Tungurahua,Santiago de Píllaro,San Miguelito,Mujeres,"2,707",12,4,2,4,7,"2,663",15,
,Tungurahua,Tisaleo,Total Tisaleo,Total Tisaleo,"13,910",425,10,3,12,38,"13,338",84,
,Tungurahua,Tisaleo,Total Tisaleo,Hombres,"6,735",207,3,1,7,18,"6,456",43,
,Tungurahua,Tisaleo,Total Tisaleo,Mujeres,"7,175",218,7,2,5,20,"6,882",41,
,Tungurahua,Tisaleo,Tisaleo,Total Tisaleo,"12,676",414,10,3,8,32,"12,125",84,
,Tungurahua,Tisaleo,Tisaleo,Hombres,"6,125",202,3,1,5,16,"5,855",43,
,Tungurahua,Tisaleo,Tisaleo,Mujeres,"6,551",212,7,2,3,16,"6,270",41,
,Tungurahua,Tisaleo,Quinchicoto,Total Quinchicoto,"1,234",11,,,4,6,"1,213",,
,Tungurahua,Tisaleo,Quinchicoto,Hombres,610,5,,,2,2,601,,
,Tungurahua,Tisaleo,Quinchicoto,Mujeres,624,6,,,2,4,612,,
,Zamora Chinchipe,Total Zamora Chinchipe,Total Zamora Chinchipe,Total Zamora Chinchipe,"110,973","20,986",439,155,176,309,"88,197",589,122
,Zamora Chinchipe,Total Zamora Chinchipe,Total Zamora Chinchipe,Hombres,"55,421","10,164",237,87,97,170,"44,266",302,98
,Zamora Chinchipe,Total Zamora Chinchipe,Total Zamora Chinchipe,Mujeres,"55,552","10,822",202,68,79,139,"43,931",287,24
,Zamora Chinchipe,Zamora,Total Zamora,Total Zamora,"30,186","3,132",134,34,66,99,"26,525",188,8
,Zamora Chinchipe,Zamora,Total Zamora,Hombres,"15,004","1,482",79,16,38,50,"13,249",86,4
,Zamora Chinchipe,Zamora,Total Zamora,Mujeres,"15,182","1,650",55,18,28,49,"13,276",102,4
,Zamora Chinchipe,Zamora,Zamora,Total Zamora,"17,950",663,112,24,41,54,"16,933",115,8
,Zamora Chinchipe,Zamora,Zamora,Hombres,"8,868",283,62,11,23,30,"8,404",51,4
,Zamora Chinchipe,Zamora,Zamora,Mujeres,"9,082",380,50,13,18,24,"8,529",64,4
,Zamora Chinchipe,Zamora,Cumbaratza,Total Cumbaratza,"3,617",271,5,2,8,22,"3,288",21,
,Zamora Chinchipe,Zamora,Cumbaratza,Hombres,"1,815",132,4,1,4,11,"1,652",11,
,Zamora Chinchipe,Zamora,Cumbaratza,Mujeres,"1,802",139,1,1,4,11,"1,636",10,
,Zamora Chinchipe,Zamora,Guadalupe,Total Guadalupe,"3,477","1,369",1,4,8,9,"2,066",20,
,Zamora Chinchipe,Zamora,Guadalupe,Hombres,"1,683",652,1,1,6,3,"1,013",7,
,Zamora Chinchipe,Zamora,Guadalupe,Mujeres,"1,794",717,,3,2,6,"1,053",13,
,Zamora Chinchipe,Zamora,Imbana,Total Imbana,874,268,1,,,5,591,9,
,Zamora Chinchipe,Zamora,Imbana,Hombres,440,128,,,,2,305,5,
,Zamora Chinchipe,Zamora,Imbana,Mujeres,434,140,1,,,3,286,4,
,Zamora Chinchipe,Zamora,Sabanilla,Total Sabanilla,621,23,,,,2,592,4,
,Zamora Chinchipe,Zamora,Sabanilla,Hombres,303,14,,,,2,286,1,
,Zamora Chinchipe,Zamora,Sabanilla,Mujeres,318,9,,,,,306,3,
,Zamora Chinchipe,Zamora,Timbara,Total Timbara,"1,705",420,,3,1,1,"1,277",3,
,Zamora Chinchipe,Zamora,Timbara,Hombres,847,208,,2,,,637,,
,Zamora Chinchipe,Zamora,Timbara,Mujeres,858,212,,1,1,1,640,3,
,Zamora Chinchipe,Zamora,San Carlos de las Minas,Total San Carlos de las Minas,"1,942",118,15,1,8,6,"1,778",16,
,Zamora Chinchipe,Zamora,San Carlos de las Minas,Hombres,"1,048",65,12,1,5,2,952,11,
,Zamora Chinchipe,Zamora,San Carlos de las Minas,Mujeres,894,53,3,,3,4,826,5,
,Zamora Chinchipe,Chinchipe,Total Chinchipe,Total Chinchipe,"10,337",55,29,5,12,21,"10,110",104,1
,Zamora Chinchipe,Chinchipe,Total Chinchipe,Hombres,"5,311",25,15,4,7,13,"5,193",53,1
,Zamora Chinchipe,Chinchipe,Total Chinchipe,Mujeres,"5,026",30,14,1,5,8,"4,917",51,
,Zamora Chinchipe,Chinchipe,Zumba,Total Zumba,"7,984",52,20,4,12,17,"7,785",93,1
,Zamora Chinchipe,Chinchipe,Zumba,Hombres,"4,088",25,13,3,7,11,"3,982",46,1
,Zamora Chinchipe,Chinchipe,Zumba,Mujeres,"3,896",27,7,1,5,6,"3,803",47,
,Zamora Chinchipe,Chinchipe,Chito,Total Chito,"1,499",1,9,,,3,"1,481",5,
,Zamora Chinchipe,Chinchipe,Chito,Hombres,770,,2,,,2,763,3,
,Zamora Chinchipe,Chinchipe,Chito,Mujeres,729,1,7,,,1,718,2,
,Zamora Chinchipe,Chinchipe,El Chorro,Total El Chorro,152,,,,,,150,2,
,Zamora Chinchipe,Chinchipe,El Chorro,Hombres,78,,,,,,76,2,
,Zamora Chinchipe,Chinchipe,El Chorro,Mujeres,74,,,,,,74,,
,Zamora Chinchipe,Chinchipe,La Chonta,Total La Chonta,241,,,,,1,239,1,
,Zamora Chinchipe,Chinchipe,La Chonta,Hombres,122,,,,,,122,,
,Zamora Chinchipe,Chinchipe,La Chonta,Mujeres,119,,,,,1,117,1,
,Zamora Chinchipe,Chinchipe,Pucapamba,Total Pucapamba,104,,,1,,,103,,
,Zamora Chinchipe,Chinchipe,Pucapamba,Hombres,62,,,1,,,61,,
,Zamora Chinchipe,Chinchipe,Pucapamba,Mujeres,42,,,,,,42,,
,Zamora Chinchipe,Chinchipe,San Andrés,Total San Andrés,357,2,,,,,352,3,
,Zamora Chinchipe,Chinchipe,San Andrés,Hombres,191,,,,,,189,2,
,Zamora Chinchipe,Chinchipe,San Andrés,Mujeres,166,2,,,,,163,1,
,Zamora Chinchipe,Nangaritza,Total Nangaritza,Total Nangaritza,"6,429","2,692",7,,9,14,"3,684",23,
,Zamora Chinchipe,Nangaritza,Total Nangaritza,Hombres,"3,238","1,334",4,,5,8,"1,873",14,
,Zamora Chinchipe,Nangaritza,Total Nangaritza,Mujeres,"3,191","1,358",3,,4,6,"1,811",9,
,Zamora Chinchipe,Nangaritza,Guayzimi,Total Guayzimi,"3,158",808,2,,9,6,"2,311",22,
,Zamora Chinchipe,Nangaritza,Guayzimi,Hombres,"1,542",370,2,,5,3,"1,149",13,
,Zamora Chinchipe,Nangaritza,Guayzimi,Mujeres,"1,616",438,,,4,3,"1,162",9,
,Zamora Chinchipe,Nangaritza,Zurmi,Total Zurmi,"1,915",751,4,,,7,"1,152",1,
,Zamora Chinchipe,Nangaritza,Zurmi,Hombres,992,379,2,,,4,606,1,
,Zamora Chinchipe,Nangaritza,Zurmi,Mujeres,923,372,2,,,3,546,,
,Zamora Chinchipe,Nangaritza,Nuevo Paraíso,Total Nuevo Paraíso,801,609,,,,1,191,,
,Zamora Chinchipe,Nangaritza,Nuevo Paraíso,Hombres,414,313,,,,1,100,,
,Zamora Chinchipe,Nangaritza,Nuevo Paraíso,Mujeres,387,296,,,,,91,,
,Zamora Chinchipe,Nangaritza,Nankais,Total Nankais,555,524,1,,,,30,,
,Zamora Chinchipe,Nangaritza,Nankais,Hombres,290,272,,,,,18,,
,Zamora Chinchipe,Nangaritza,Nankais,Mujeres,265,252,1,,,,12,,
,Zamora Chinchipe,Yacuambi,Total Yacuambi,Total Yacuambi,"6,391","5,099",14,,5,19,"1,246",8,
,Zamora Chinchipe,Yacuambi,Total Yacuambi,Hombres,"3,139","2,493",4,,1,11,627,3,
,Zamora Chinchipe,Yacuambi,Total Yacuambi,Mujeres,"3,252","2,606",10,,4,8,619,5,
,Zamora Chinchipe,Yacuambi,28 de Mayo,Total 28 de Mayo,"2,979","2,418",5,,,,553,3,
,Zamora Chinchipe,Yacuambi,28 de Mayo,Hombres,"1,445","1,184",1,,,,258,2,
,Zamora Chinchipe,Yacuambi,28 de Mayo,Mujeres,"1,534","1,234",4,,,,295,1,
,Zamora Chinchipe,Yacuambi,La Paz,Total La Paz,"2,230","1,857",,,1,3,368,1,
,Zamora Chinchipe,Yacuambi,La Paz,Hombres,"1,129",925,,,,2,201,1,
,Zamora Chinchipe,Yacuambi,La Paz,Mujeres,"1,101",932,,,1,1,167,,
,Zamora Chinchipe,Yacuambi,Tutupali,Total Tutupali,"1,182",824,9,,4,16,325,4,
,Zamora Chinchipe,Yacuambi,Tutupali,Hombres,565,384,3,,1,9,168,,
,Zamora Chinchipe,Yacuambi,Tutupali,Mujeres,617,440,6,,3,7,157,4,
,Zamora Chinchipe,Yantzaza,Total Yantzaza,Total Yantzaza,"23,370","3,467",164,66,43,61,"19,442",112,15
,Zamora Chinchipe,Yantzaza,Total Yantzaza,Hombres,"11,539","1,700",80,37,25,32,"9,588",65,12
,Zamora Chinchipe,Yantzaza,Total Yantzaza,Mujeres,"11,831","1,767",84,29,18,29,"9,854",47,3
,Zamora Chinchipe,Yantzaza,Yantzaza,Total Yantzaza,"16,375","1,500",150,66,28,38,"14,499",92,2
,Zamora Chinchipe,Yantzaza,Yantzaza,Hombres,"7,998",703,71,37,21,23,"7,089",52,2
,Zamora Chinchipe,Yantzaza,Yantzaza,Mujeres,"8,377",797,79,29,7,15,"7,410",40,
,Zamora Chinchipe,Yantzaza,Chicaña,Total Chicaña,"2,863","1,172",,,6,14,"1,664",6,1
,Zamora Chinchipe,Yantzaza,Chicaña,Hombres,"1,414",594,,,1,4,810,4,1
,Zamora Chinchipe,Yantzaza,Chicaña,Mujeres,"1,449",578,,,5,10,854,2,
,Zamora Chinchipe,Yantzaza,Los Encuentros,Total Los Encuentros,"4,132",795,14,,9,9,"3,279",14,12
,Zamora Chinchipe,Yantzaza,Los Encuentros,Hombres,"2,127",403,9,,3,5,"1,689",9,9
,Zamora Chinchipe,Yantzaza,Los Encuentros,Mujeres,"2,005",392,5,,6,4,"1,590",5,3
,Zamora Chinchipe,El Pangui,Total El Pangui,Total El Pangui,"12,768","3,636",44,33,14,46,"8,828",72,95
,Zamora Chinchipe,El Pangui,Total El Pangui,Hombres,"6,300","1,764",23,25,5,28,"4,339",36,80
,Zamora Chinchipe,El Pangui,Total El Pangui,Mujeres,"6,468","1,872",21,8,9,18,"4,489",36,15
,Zamora Chinchipe,El Pangui,El Pangui,Total El Pangui,"8,336","2,085",31,27,5,32,"6,107",49,
,Zamora Chinchipe,El Pangui,El Pangui,Hombres,"4,094","1,010",19,22,2,19,"2,999",23,
,Zamora Chinchipe,El Pangui,El Pangui,Mujeres,"4,242","1,075",12,5,3,13,"3,108",26,
,Zamora Chinchipe,El Pangui,El Guisme,Total El Guisme,"1,621",677,9,,2,6,920,7,
,Zamora Chinchipe,El Pangui,El Guisme,Hombres,778,329,3,,1,6,437,2,
,Zamora Chinchipe,El Pangui,El Guisme,Mujeres,843,348,6,,1,,483,5,
,Zamora Chinchipe,El Pangui,Pachicutza,Total Pachicutza,"1,724",514,,3,,2,"1,199",6,
,Zamora Chinchipe,El Pangui,Pachicutza,Hombres,861,259,,2,,1,596,3,
,Zamora Chinchipe,El Pangui,Pachicutza,Mujeres,863,255,,1,,1,603,3,
,Zamora Chinchipe,El Pangui,Tundayme,Total Tundayme,"1,087",360,4,3,7,6,602,10,95
,Zamora Chinchipe,El Pangui,Tundayme,Hombres,567,166,1,1,2,2,307,8,80
,Zamora Chinchipe,El Pangui,Tundayme,Mujeres,520,194,3,2,5,4,295,2,15
,Zamora Chinchipe,Centinela del Cóndor,Total Centinela del Cóndor,Total Centinela del Cóndor,"7,882",977,24,1,13,15,"6,812",37,3
,Zamora Chinchipe,Centinela del Cóndor,Total Centinela del Cóndor,Hombres,"3,970",456,15,,8,6,"3,465",19,1
,Zamora Chinchipe,Centinela del Cóndor,Total Centinela del Cóndor,Mujeres,"3,912",521,9,1,5,9,"3,347",18,2
,Zamora Chinchipe,Centinela del Cóndor,Zumbi,Total Zumbi,"5,192",425,20,1,13,10,"4,692",28,3
,Zamora Chinchipe,Centinela del Cóndor,Zumbi,Hombres,"2,588",195,13,,8,3,"2,354",14,1
,Zamora Chinchipe,Centinela del Cóndor,Zumbi,Mujeres,"2,604",230,7,1,5,7,"2,338",14,2
,Zamora Chinchipe,Centinela del Cóndor,Triunfo Dorado,Total Triunfo Dorado,986,314,,,,1,662,9,
,Zamora Chinchipe,Centinela del Cóndor,Triunfo Dorado,Hombres,519,157,,,,,357,5,
,Zamora Chinchipe,Centinela del Cóndor,Triunfo Dorado,Mujeres,467,157,,,,1,305,4,
,Zamora Chinchipe,Centinela del Cóndor,Panguintza,Total Panguintza,"1,704",238,4,,,4,"1,458",,
,Zamora Chinchipe,Centinela del Cóndor,Panguintza,Hombres,863,104,2,,,3,754,,
,Zamora Chinchipe,Centinela del Cóndor,Panguintza,Mujeres,841,134,2,,,1,704,,
,Zamora Chinchipe,Palanda,Total Palanda,Total Palanda,"8,873",15,6,9,7,23,"8,775",38,
,Zamora Chinchipe,Palanda,Total Palanda,Hombres,"4,524",9,3,3,5,14,"4,468",22,
,Zamora Chinchipe,Palanda,Total Palanda,Mujeres,"4,349",6,3,6,2,9,"4,307",16,
,Zamora Chinchipe,Palanda,Palanda,Total Palanda,"3,999",10,5,1,5,11,"3,952",15,
,Zamora Chinchipe,Palanda,Palanda,Hombres,"1,991",7,3,,5,6,"1,962",8,
,Zamora Chinchipe,Palanda,Palanda,Mujeres,"2,008",3,2,1,,5,"1,990",7,
,Zamora Chinchipe,Palanda,El Porvenir del Carmen,Total El Porvenir del Carmen,"1,558",,,,2,5,"1,549",2,
,Zamora Chinchipe,Palanda,El Porvenir del Carmen,Hombres,829,,,,,2,826,1,
,Zamora Chinchipe,Palanda,El Porvenir del Carmen,Mujeres,729,,,,2,3,723,1,
,Zamora Chinchipe,Palanda,San Francisco del Vergel,Total San Francisco del Vergel,"1,603",2,1,7,,2,"1,579",12,
,Zamora Chinchipe,Palanda,San Francisco del Vergel,Hombres,812,1,,2,,1,800,8,
,Zamora Chinchipe,Palanda,San Francisco del Vergel,Mujeres,791,1,1,5,,1,779,4,
,Zamora Chinchipe,Palanda,Valladolid,Total Valladolid,"1,258",3,,1,,4,"1,241",9,
,Zamora Chinchipe,Palanda,Valladolid,Hombres,649,1,,1,,4,638,5,
,Zamora Chinchipe,Palanda,Valladolid,Mujeres,609,2,,,,,603,4,
,Zamora Chinchipe,Palanda,La Canela,Total La Canela,455,,,,,1,454,,
,Zamora Chinchipe,Palanda,La Canela,Hombres,243,,,,,1,242,,
,Zamora Chinchipe,Palanda,La Canela,Mujeres,212,,,,,,212,,
,Zamora Chinchipe,Paquisha,Total Paquisha,Total Paquisha,"4,737","1,913",17,7,7,11,"2,775",7,
,Zamora Chinchipe,Paquisha,Total Paquisha,Hombres,"2,396",901,14,2,3,8,"1,464",4,
,Zamora Chinchipe,Paquisha,Total Paquisha,Mujeres,"2,341","1,012",3,5,4,3,"1,311",3,
,Zamora Chinchipe,Paquisha,Paquisha,Total Paquisha,"2,253",572,4,6,5,1,"1,662",3,
,Zamora Chinchipe,Paquisha,Paquisha,Hombres,"1,109",271,4,2,3,1,826,2,
,Zamora Chinchipe,Paquisha,Paquisha,Mujeres,"1,144",301,,4,2,,836,1,
,Zamora Chinchipe,Paquisha,Bellavista,Total Bellavista,440,218,6,,,4,212,,
,Zamora Chinchipe,Paquisha,Bellavista,Hombres,215,90,4,,,3,118,,
,Zamora Chinchipe,Paquisha,Bellavista,Mujeres,225,128,2,,,1,94,,
,Zamora Chinchipe,Paquisha,Nuevo Quito,Total Nuevo Quito,"2,044","1,123",7,1,2,6,901,4,
,Zamora Chinchipe,Paquisha,Nuevo Quito,Hombres,"1,072",540,6,,,4,520,2,
,Zamora Chinchipe,Paquisha,Nuevo Quito,Mujeres,972,583,1,1,2,2,381,2,
,Galápagos,Total Galápagos,Total Galápagos,Total Galápagos,"28,583","2,671",695,167,445,645,"23,258",658,44
,Galápagos,Total Galápagos,Total Galápagos,Hombres,"14,380","1,390",351,95,244,355,"11,591",328,26
,Galápagos,Total Galápagos,Total Galápagos,Mujeres,"14,203","1,281",344,72,201,290,"11,667",330,18
,Galápagos,San Cristóbal,Total San Cristóbal,Total San Cristóbal,"8,300",781,231,50,151,179,"6,688",206,14
,Galápagos,San Cristóbal,Total San Cristóbal,Hombres,"4,179",413,130,28,78,88,"3,326",107,9
,Galápagos,San Cristóbal,Total San Cristóbal,Mujeres,"4,121",368,101,22,73,91,"3,362",99,5
,Galápagos,San Cristóbal,Puerto Baquerizo Moreno,Total Puerto Baquerizo Moreno,"7,290",655,206,36,133,137,"5,937",180,6
,Galápagos,San Cristóbal,Puerto Baquerizo Moreno,Hombres,"3,644",347,114,20,70,68,"2,925",95,5
,Galápagos,San Cristóbal,Puerto Baquerizo Moreno,Mujeres,"3,646",308,92,16,63,69,"3,012",85,1
,Galápagos,San Cristóbal,El Progreso,Total El Progreso,865,120,23,14,16,41,622,21,8
,Galápagos,San Cristóbal,El Progreso,Hombres,459,63,15,8,8,19,331,11,4
,Galápagos,San Cristóbal,El Progreso,Mujeres,406,57,8,6,8,22,291,10,4
,Galápagos,San Cristóbal,Isla Santa María Floreana,Total Isla Santa María Floreana,145,6,2,,2,1,129,5,
,Galápagos,San Cristóbal,Isla Santa María Floreana,Hombres,76,3,1,,,1,70,1,
,Galápagos,San Cristóbal,Isla Santa María Floreana,Mujeres,69,3,1,,2,,59,4,
,Galápagos,Isabela,Total Isabela,Total Isabela,"3,050",124,76,17,70,62,"2,633",68,
,Galápagos,Isabela,Total Isabela,Hombres,"1,564",69,44,8,40,38,"1,326",39,
,Galápagos,Isabela,Total Isabela,Mujeres,"1,486",55,32,9,30,24,"1,307",29,
,Galápagos,Isabela,Puerto Villamil,Total Puerto Villamil,"2,755",57,73,17,64,41,"2,444",59,
,Galápagos,Isabela,Puerto Villamil,Hombres,"1,390",32,41,8,35,26,"1,214",34,
,Galápagos,Isabela,Puerto Villamil,Mujeres,"1,365",25,32,9,29,15,"1,230",25,
,Galápagos,Isabela,Tomás de Berlanga,Total Tomás de Berlanga,295,67,3,,6,21,189,9,
,Galápagos,Isabela,Tomás de Berlanga,Hombres,174,37,3,,5,12,112,5,
,Galápagos,Isabela,Tomás de Berlanga,Mujeres,121,30,,,1,9,77,4,
,Galápagos,Santa Cruz,Total Santa Cruz,Total Santa Cruz,"17,233","1,766",388,100,224,404,"13,937",384,30
,Galápagos,Santa Cruz,Total Santa Cruz,Hombres,"8,637",908,177,59,126,229,"6,939",182,17
,Galápagos,Santa Cruz,Total Santa Cruz,Mujeres,"8,596",858,211,41,98,175,"6,998",202,13
,Galápagos,Santa Cruz,Puerto Ayora,Total Puerto Ayora,"12,737","1,565",318,74,182,314,"9,961",296,27
,Galápagos,Santa Cruz,Puerto Ayora,Hombres,"6,324",806,143,45,102,179,"4,899",134,16
,Galápagos,Santa Cruz,Puerto Ayora,Mujeres,"6,413",759,175,29,80,135,"5,062",162,11
,Galápagos,Santa Cruz,Bella Vista,Total Bella Vista,"3,933",183,67,26,41,77,"3,456",80,3
,Galápagos,Santa Cruz,Bella Vista,Hombres,"2,010",95,32,14,24,41,"1,759",44,1
,Galápagos,Santa Cruz,Bella Vista,Mujeres,"1,923",88,35,12,17,36,"1,697",36,2
,Galápagos,Santa Cruz,Santa Rosa,Total Santa Rosa,563,18,3,,1,13,520,8,
,Galápagos,Santa Cruz,Santa Rosa,Hombres,303,7,2,,,9,281,4,
,Galápagos,Santa Cruz,Santa Rosa,Mujeres,260,11,1,,1,4,239,4,
,Sucumbíos,Total Sucumbíos,Total Sucumbíos,Total Sucumbíos,"199,014","32,403","4,728","2,092","2,316","1,217","154,114","2,082",62
,Sucumbíos,Total Sucumbíos,Total Sucumbíos,Hombres,"100,167","16,262","2,397","1,138","1,219",699,"77,367","1,053",32
,Sucumbíos,Total Sucumbíos,Total Sucumbíos,Mujeres,"98,847","16,141","2,331",954,"1,097",518,"76,747","1,029",30
,Sucumbíos,Lago Agrio,Total Lago Agrio,Total Lago Agrio,"105,044","12,133","2,656","1,086","1,485",740,"85,431","1,457",56
,Sucumbíos,Lago Agrio,Total Lago Agrio,Hombres,"52,497","6,123","1,341",617,799,434,"42,442",713,28
,Sucumbíos,Lago Agrio,Total Lago Agrio,Mujeres,"52,547","6,010","1,315",469,686,306,"42,989",744,28
,Sucumbíos,Lago Agrio,Nueva Loja,Total Nueva Loja,"65,791","4,141","2,209",880,"1,067",534,"55,780","1,136",44
,Sucumbíos,Lago Agrio,Nueva Loja,Hombres,"32,393","2,096","1,112",505,587,324,"27,192",556,21
,Sucumbíos,Lago Agrio,Nueva Loja,Mujeres,"33,398","2,045","1,097",375,480,210,"28,588",580,23
,Sucumbíos,Lago Agrio,Dureno,Total Dureno,"3,149",653,7,6,10,10,"2,445",18,
,Sucumbíos,Lago Agrio,Dureno,Hombres,"1,569",328,5,4,5,6,"1,213",8,
,Sucumbíos,Lago Agrio,Dureno,Mujeres,"1,580",325,2,2,5,4,"1,232",10,
,Sucumbíos,Lago Agrio,General Farfán,Total General Farfán,"6,681",221,66,56,266,66,"5,922",72,12
,Sucumbíos,Lago Agrio,General Farfán,Hombres,"3,451",111,32,33,137,42,"3,056",33,7
,Sucumbíos,Lago Agrio,General Farfán,Mujeres,"3,230",110,34,23,129,24,"2,866",39,5
,Sucumbíos,Lago Agrio,El Eno,Total El Eno,"6,918","2,661",31,9,8,34,"4,157",18,
,Sucumbíos,Lago Agrio,El Eno,Hombres,"3,496","1,313",16,5,4,15,"2,136",7,
,Sucumbíos,Lago Agrio,El Eno,Mujeres,"3,422","1,348",15,4,4,19,"2,021",11,
,Sucumbíos,Lago Agrio,Pacayacu,Total Pacayacu,"8,428",456,128,110,77,54,"7,505",98,
,Sucumbíos,Lago Agrio,Pacayacu,Hombres,"4,406",219,71,57,35,33,"3,941",50,
,Sucumbíos,Lago Agrio,Pacayacu,Mujeres,"4,022",237,57,53,42,21,"3,564",48,
,Sucumbíos,Lago Agrio,Jambelí,Total Jambelí,"3,478","1,333",143,2,1,5,"1,989",5,
,Sucumbíos,Lago Agrio,Jambelí,Hombres,"1,826",686,77,2,1,2,"1,057",1,
,Sucumbíos,Lago Agrio,Jambelí,Mujeres,"1,652",647,66,,,3,932,4,
,Sucumbíos,Lago Agrio,Santa Cecilia,Total Santa Cecilia,"8,669","2,491",72,16,42,34,"5,934",80,
,Sucumbíos,Lago Agrio,Santa Cecilia,Hombres,"4,347","1,280",28,8,26,11,"2,953",41,
,Sucumbíos,Lago Agrio,Santa Cecilia,Mujeres,"4,322","1,211",44,8,16,23,"2,981",39,
,Sucumbíos,Lago Agrio,10 de Agosto,Total 10 de Agosto,"1,930",177,,7,14,3,"1,699",30,
,Sucumbíos,Lago Agrio,10 de Agosto,Hombres,"1,009",90,,3,4,1,894,17,
,Sucumbíos,Lago Agrio,10 de Agosto,Mujeres,921,87,,4,10,2,805,13,
,Sucumbíos,Gonzalo Pizarro,Total Gonzalo Pizarro,Total Gonzalo Pizarro,"10,356","3,402",44,19,27,35,"6,801",28,
